2018-11-07 09:55:33 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40569
2018-11-07 09:55:33 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:33 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:33 [main] INFO  main.status:217 | 20100456495-01-F001-40570
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40571
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40566
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40568
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40567
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40565
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40564
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:34 [main] INFO  main.status:217 | 20100456495-01-F001-40563
2018-11-07 09:55:34 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:34 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
